feature,importance_gain,importance_pct
scheduled_dep_hour,1352834.4850616455,19.387372532512206
scheduled_arr_hour,774100.4893341064,11.093577765824357
route_delay_rate_7d_final,771978.5166625977,11.063167929927488
Origin,500079.92655944824,7.166609026674523
Month,446352.21462249756,6.396641097749574
Dest,328799.9889602661,4.712008708417946
DayOfWeek,321869.47163391113,4.612687969086739
wx_visibility_km,295788.03881073,4.238916853766845
Reporting_Airline,244922.0394744873,3.5099599198184044
wx_temperature_c,244080.38176727295,3.4978981844806323
wx_pressure_hpa,220777.81045532227,3.163950731204681
wx_precipitation,215133.12953948975,3.08305721987656
route_delay_rate_final,204428.24628448486,2.929646317158202
wx_ceiling_m,183045.48153686523,2.62321147201284
carrier_delay_rate_7d_final,121807.61235809326,1.7456160263201617
destination_delay_rate_7d_final,116369.11554718018,1.667677324391487
prior_carrier_flights_ml,108706.08506011963,1.5578589922738877
origin_delay_rate_7d_final,103755.82831573486,1.4869172231996057
prior_7d_carrier_flights_ml,97589.13542175293,1.3985427962099095
wx_wind_speed_ms,57517.16053009033,0.8242742408790353
carrier_delay_rate_final,51427.17981719971,0.7369991705726744
prior_destination_flights_ml,40628.71396636963,0.5822471424854289
prior_7d_destination_flights_ml,34926.29611968994,0.5005262074040117
prior_7d_origin_flights_ml,34906.07614898682,0.5002364364756781
origin_delay_rate_final,27770.407020568848,0.39797568160211944
destination_delay_rate_final,25725.806747436523,0.36867466391444104
prior_origin_flights_ml,24824.832962036133,0.3557628741778059
is_weekend,8530.538986206055,0.12225053327285607
CRSElapsedTime,5142.5379638671875,0.07369733723452271
prior_route_flights_ml,4477.651580810547,0.06416889887605913
Distance,3730.77099609375,0.05346540758196689
wx_pressure_missing,3381.2470703125,0.048456405643464075
wx_precipitation_missing,2508.344955444336,0.0359469089738876
wx_visibility_missing,0.0,0.0
wx_wind_missing,0.0,0.0
wx_temperature_missing,0.0,0.0
carrier_history_missing,0.0,0.0
destination_7d_missing,0.0,0.0
route_7d_missing,0.0,0.0
origin_history_missing,0.0,0.0
origin_7d_missing,0.0,0.0
carrier_7d_missing,0.0,0.0
prior_7d_route_flights_ml,0.0,0.0
route_history_missing,0.0,0.0
destination_history_missing,0.0,0.0
wx_ceiling_missing,0.0,0.0
